Provinsi,Kapasitas listrik terpasang (MW),Luas Hutan (Ribu Ha),Luas Hutan (ha),Potensi lahan PLTS,Potensi Kapasitas PLTS berdasarkan luas lahan (MW)
Aceh,904.88,3135.9,3135900,31359.0,20906.0
Sumatera Utara,4603.58,1885.1,1885100,18851.0,12567.333333333334
Sumatera Barat,1031.49,1891.0,1891000,18910.0,12606.666666666666
Riau,1429.86,2580.9,2580900,25809.0,17206.0
Jambi,369.81,1328.5,1328500,13285.0,8856.666666666666
Sumatera Selatan,2286.43,1506.8,1506800,15068.0,10045.333333333334
Bengkulu,529.89,654.2,654200,6542.0,4361.333333333333
Lampung,1087.92,322.3,322300,3223.0,2148.6666666666665
Bangka Belitung,354.93,205.0,205000,2050.0,1366.6666666666667
Kepulauan Riau,757.43,286.8,286800,2868.0,1912.0
Jakarta Raya,5126.27,1.1,1100,11.0,7.333333333333333
Jawa Barat,9079.0,686.5,686500,6865.0,4576.666666666667
Jawa Tengah,8764.04,658.8,658800,6588.0,4392.0
Yogyakarta,0.78,18.9,18900,189.0,126.0
Jawa Timur,10063.77,1248.0,1248000,12480.0,8320.0
Banten,8932.98,157.8,157800,1578.0,1052.0
Bali,1009.04,96.0,96000,960.0,640.0
Nusa Tenggara Barat,690.26,878.5,878500,8785.0,5856.666666666667
Nusa Tenggara Timur,505.02,1717.7,1717700,17177.0,11451.333333333334
Kalimantan Barat,809.23,5637.8,5637800,56378.0,37585.333333333336
Kalimantan Tengah,617.68,7342.2,7342200,73422.0,48948.0
Kalimantan Selatan,675.89,926.0,926000,9260.0,6173.333333333333
Kalimantan Timur,1505.18,7758.0,7758000,77580.0,51720.0
Sulawesi Utara,571.18,549.5,549500,5495.0,3663.3333333333335
Sulawesi Tengah,649.76,3760.2,3760200,37602.0,25068.0
Sulawesi Selatan,1874.2,1479.9,1479900,14799.0,9866.0
Sulawesi Tenggara,405.7,1883.0,1883000,18830.0,12553.333333333334
Gorontalo,229.51,709.8,709800,7098.0,4732.0
Sulawesi Barat,57.4,811.5,811500,8115.0,5410.0
Maluku,390.74,3077.9,3077900,30779.0,20519.333333333332
Maluku Utara,157.88,2033.2,2033200,20332.0,13554.666666666666
Papua Barat,267.51,9087.0,9087000,90870.0,60580.0
Papua,525.64,25241.3,25241300,252413.0,168275.33333333334
