Provinsi,Kategori Pulau,Jumlah Tambahan PLTS
Aceh,Sumatera,172
Bali,"Jawa, Bali, Madura",2236
Bangka Belitung,Sumatera,172
Banten,"Jawa, Bali, Madura",2236
Bengkulu,Sumatera,172
Gorontalo,Sulawesi,176
Jakarta Raya,"Jawa, Bali, Madura",2236
Jambi,Sumatera,172
Jawa Barat,"Jawa, Bali, Madura",2236
Jawa Tengah,"Jawa, Bali, Madura",2236
Jawa Timur,"Jawa, Bali, Madura",2236
Kalimantan Barat,Kalimantan,304
Kalimantan Selatan,Kalimantan,304
Kalimantan Tengah,Kalimantan,304
Kalimantan Timur,Kalimantan,304
Kepulauan Riau,Sumatera,172
Lampung,Sumatera,172
Maluku,"Papua, Maluku, NTT",1023
Maluku Utara,"Papua, Maluku, NTT",1023
Nusa Tenggara Barat,"Papua, Maluku, NTT",1023
Nusa Tenggara Timur,"Papua, Maluku, NTT",1023
Papua,"Papua, Maluku, NTT",1023
Papua Barat,"Papua, Maluku, NTT",1023
Riau,Sumatera,172
Sulawesi Barat,Sulawesi,176
Sulawesi Selatan,Sulawesi,176
Sulawesi Tengah,Sulawesi,176
Sulawesi Tenggara,Sulawesi,176
Sulawesi Utara,Sulawesi,176
Sumatera Barat,Sumatera,172
Sumatera Selatan,Sumatera,172
Sumatera Utara,Sumatera,172
Yogyakarta,"Jawa, Bali, Madura",2236
